,T,L,R,Mv,Type,Color,Spectral_Class
57,3450,174000.0,1284.0,-11.28,Hypergiant,red,M
58,3752,209000.0,955.0,-11.24,Hypergiant,red,M
59,3535,195000.0,1546.0,-11.36,Hypergiant,red,M
60,3341,0.0056,0.057,16.23,Brown Dwarf,red,M
61,3432,0.00067,0.19,16.94,Brown Dwarf,red,M
62,2983,0.00024,0.094,16.09,Brown Dwarf,red,M
63,2835,0.00034,0.0918,16.96,Brown Dwarf,red,M
64,2935,0.00014,0.116,18.89,Brown Dwarf,red,M
65,3295,0.00098,0.132,17.13,Brown Dwarf,red,M
66,2945,0.00032,0.093,18.34,Brown Dwarf,red,M
67,2817,0.00098,0.0911,16.45,Brown Dwarf,red,M
68,2774,0.00036,0.118,17.39,Brown Dwarf,red,M
69,2871,0.00072,0.12,19.43,Brown Dwarf,red,M
70,3345,0.021,0.273,12.3,Red Dwarf,red,M
71,3607,0.022,0.38,10.12,Red Dwarf,red,M
72,3304,0.0085,0.18,13.2,Red Dwarf,red,M
73,3150,0.0088,0.35,11.94,Red Dwarf,red,M
74,3550,0.004,0.291,10.89,Red Dwarf,red,M
75,3180,0.001,0.35,11.76,Red Dwarf,red,M
76,2890,0.0034,0.24,13.46,Red Dwarf,red,M
77,3342,0.0015,0.307,11.87,Red Dwarf,red,M
78,2621,0.0006,0.098,12.81,Red Dwarf,red,M
79,3158,0.00135,0.161,13.98,Red Dwarf,red,M
80,7100,0.00029,0.012,14.09,White Dwarf,white-yellow,F
81,10574,0.00014,0.0092,12.02,White Dwarf,white,F
82,8930,0.00056,0.0095,13.78,White Dwarf,white,A
83,17200,0.00098,0.015,12.45,White Dwarf,blue white,B
84,14100,0.00067,0.0089,12.17,White Dwarf,blue white,B
85,9675,0.00045,0.0109,13.98,White Dwarf,blue white,A
86,12010,0.00078,0.0092,12.13,White Dwarf,blue white,B
87,10980,0.00074,0.0087,11.19,White Dwarf,blue white,B
88,13720,0.00018,0.00892,12.97,White Dwarf,white,F
89,19860,0.0011,0.0131,11.34,White Dwarf,blue ,B
90,5300,0.59,0.91,5.49,Main Sequence,yellow-white,F
91,4526,0.153,0.865,6.506,Main Sequence,yellowish,K
92,4077,0.085,0.795,6.228,Main Sequence,yellowish,K
93,4980,0.357,1.13,4.78,Main Sequence,yellowish,K
94,9030,45.0,2.63,1.45,Main Sequence,blue-white,A
95,11250,672.0,6.98,-2.3,Main Sequence,blue-white,A
96,5112,0.63,0.876,4.68,Main Sequence,orange-red,K
97,7720,7.92,1.34,2.44,Main Sequence,yellow-white,F
98,12098,689.0,7.01,0.02,Main Sequence,blue-white,A
99,36108,198000.0,10.2,-4.4,Main Sequence,blue,O
100,33300,240000.0,12.0,-6.5,Supergiant,blue,B
101,40000,813000.0,14.0,-6.23,Supergiant,blue,O
102,23000,127000.0,36.0,-5.76,Supergiant,blue,O
103,17120,235000.0,83.0,-6.89,Supergiant,blue,O
104,11096,112000.0,12.0,-5.91,Supergiant,blue,O
105,14245,231000.0,42.0,-6.12,Supergiant,blue,O
106,24630,363000.0,63.0,-5.83,Supergiant,blue,O
107,12893,184000.0,36.0,-6.34,Supergiant,blue,O
108,24345,142000.0,57.0,-6.24,Supergiant,blue,O
109,33421,352000.0,67.0,-5.79,Supergiant,blue,O
110,3459,100000.0,1289.0,-10.7,Hypergiant,red,M
111,3605,126000.0,1124.0,-10.81,Hypergiant,red,M
112,3615,200000.0,1635.0,-11.33,Hypergiant,red,M
113,3399,117000.0,1486.0,-10.92,Hypergiant,red,M
114,3610,132000.0,1522.0,-10.86,Hypergiant,red,M
115,3553,145000.0,1324.0,-11.03,Hypergiant,red,M
116,4015,282000.0,1534.0,-11.39,Hypergiant,red,K
117,3625,74000.0,876.0,-10.25,Hypergiant,red,M
118,6850,229000.0,1467.0,-10.07,Hypergiant,red,G
119,3780,200000.0,1324.0,-10.7,Hypergiant,red,M
120,3323,0.00043,0.0912,17.16,Brown Dwarf,red,M
121,3531,0.00093,0.0976,19.94,Brown Dwarf,red,M
122,3218,0.00054,0.11,20.02,Brown Dwarf,red,M
123,3146,0.00015,0.0932,16.92,Brown Dwarf,red,M
124,3511,0.00064,0.109,17.12,Brown Dwarf,red,M
125,3225,0.00076,0.121,19.63,Brown Dwarf,red,M
126,2935,0.00087,0.0932,16.88,Brown Dwarf,red,M
127,2861,0.00019,0.0899,16.71,Brown Dwarf,red,M
128,2856,0.000896,0.0782,19.56,Brown Dwarf,red,M
129,2731,0.000437,0.0856,18.09,Brown Dwarf,red,M
130,3095,0.00019,0.492,10.87,Red Dwarf,red,M
131,3607,0.00023,0.38,10.34,Red Dwarf,red,M
132,3100,0.008,0.31,11.17,Red Dwarf,red,M
133,2989,0.0087,0.34,13.12,Red Dwarf,red,M
134,3542,0.0009,0.62,14.23,Red Dwarf,red,M
135,3243,0.0023,0.73,14.75,Red Dwarf,red,M
136,3091,0.0081,0.24,11.43,Red Dwarf,red,M
137,3598,0.0011,0.56,14.26,Red Dwarf,red,M
138,3324,0.0034,0.34,12.23,Red Dwarf,red,M
139,3541,0.0013,0.256,14.33,Red Dwarf,red,M
140,13420,0.00059,0.00981,13.67,White Dwarf,blue white,B
141,21020,0.0015,0.0112,11.52,White Dwarf,blue,B
142,18290,0.0013,0.00934,12.78,White Dwarf,blue,B
143,14520,0.00082,0.00972,11.92,White Dwarf,blue white,B
144,11900,0.00067,0.00898,11.38,White Dwarf,blue white ,B
145,8924,0.00028,0.00879,14.87,White Dwarf,blue white,A
146,12912,0.00071,0.00945,12.83,White Dwarf,blue white,B
147,14732,0.00011,0.00892,12.89,White Dwarf,white,F
148,7723,0.00014,0.00878,14.81,White Dwarf,white,A
149,12984,0.00088,0.00996,11.23,White Dwarf,blue white,B
150,29560,188000.0,6.02,-4.01,Main Sequence,blue-white,B
151,8945,38.0,2.487,0.12,Main Sequence,blue-white,A
152,14060,1092.0,5.745,-2.04,Main Sequence,blue-white,A
153,16390,1278.0,5.68,-3.32,Main Sequence,blue-white,B
154,25070,14500.0,5.92,-3.98,Main Sequence,blue-white,B
155,28700,16790.0,6.4,-4.09,Main Sequence,blue-white,B
156,26140,14520.0,5.49,-3.8,Main Sequence,blue-white,B
157,20120,4720.0,6.78,-3.4,Main Sequence,blue-white,B
158,13023,998.0,6.21,-1.38,Main Sequence,blue-white,A
159,37800,202900.0,6.86,-4.56,Main Sequence,blue,O
160,25390,223000.0,57.0,-5.92,Supergiant,blue,O
161,11567,251000.0,36.0,-6.245,Supergiant,blue,O
162,12675,452000.0,83.0,-5.62,Supergiant,blue,O
163,5752,245000.0,97.0,-6.63,Supergiant,blue,O
164,8927,239000.0,35.0,-7.34,Supergiant,blue,O
165,7282,131000.0,24.0,-7.22,Supergiant,blue,O
166,19923,152000.0,73.0,-5.69,Supergiant,blue,O
167,26373,198000.0,39.0,-5.83,Supergiant,blue,O
168,17383,342900.0,30.0,-6.09,Supergiant,blue,O
169,9373,424520.0,24.0,-5.99,Supergiant,blue,O
170,3570,320000.0,1480.0,-7.58,Hypergiant,red,M
171,3500,138000.0,1420.0,-8.18,Hypergiant,red,M
172,4287,630000.0,1315.0,-9.2,Hypergiant,orange,K
173,26000,316000.0,1679.0,-9.1,Hypergiant,blue,B
174,3600,240000.0,1190.0,-7.89,Hypergiant,red,M
175,3614,145000.0,1553.0,-7.71,Hypergiant,red,M
176,18000,200000.0,1045.0,-8.3,Hypergiant,blue,O
177,11000,170000.0,1779.0,-9.9,Hypergiant,blue-white,B
178,12100,120000.0,708.9,-7.84,Hypergiant,blue-white,B
179,24490,248490.0,1134.5,-8.24,Hypergiant,blue-white,B
180,2831,0.000231,0.0915,16.21,Brown Dwarf,red,M
181,2914,0.000631,0.116,18.39,Brown Dwarf,red,M
182,3419,0.000245,0.126,17.56,Brown Dwarf,red,M
183,3218,0.000452,0.0987,17.34,Brown Dwarf,red,M
184,3453,0.000621,0.0773,17.08,Brown Dwarf,red,M
185,2889,0.000352,0.0973,16.93,Brown Dwarf,red,M
186,2968,0.000461,0.119,17.45,Brown Dwarf,red,M
187,3484,0.000551,0.0998,16.67,Brown Dwarf,red,M
188,2778,0.000849,0.112,19.45,Brown Dwarf,red,M
189,3523,0.000957,0.129,16.35,Brown Dwarf,red,M
190,3462,0.0053,0.148,11.47,Red Dwarf,red,M
191,3257,0.0024,0.46,10.73,Red Dwarf,red,M
192,2994,0.0072,0.28,13.45,Red Dwarf,red,M
193,3212,0.0016,0.378,12.854,Red Dwarf,red,M
194,3523,0.0054,0.319,12.43,Red Dwarf,red,M
195,3598,0.0027,0.67,13.667,Red Dwarf,red,M
196,3142,0.00132,0.258,14.12,Red Dwarf,red,M
197,3496,0.00125,0.336,14.94,Red Dwarf,red,M
198,3324,0.0065,0.471,12.78,Red Dwarf,red,M
199,3463,0.0027,0.675,14.776,Red Dwarf,red,M
200,16790,0.0014,0.0121,12.87,White Dwarf,blue,B
201,15680,0.00122,0.0114,11.92,White Dwarf,blue,B
202,14982,0.00118,0.0113,12.23,White Dwarf,blue,B
203,13340,0.00109,0.0116,12.9,White Dwarf,blue,B
204,18340,0.00134,0.0124,11.22,White Dwarf,blue,B
205,19920,0.00156,0.0142,11.34,White Dwarf,blue,B
206,24020,0.00159,0.0127,10.55,White Dwarf,blue,B
207,23092,0.00132,0.0104,10.18,White Dwarf,blue,B
208,17920,0.00111,0.0106,11.66,White Dwarf,blue,B
209,19360,0.00125,0.00998,11.62,White Dwarf,blue,B
210,22350,12450.0,6.36,-3.67,Main Sequence,blue-white,B
211,10012,552.0,5.856,0.013,Main Sequence,blue-white,A
212,13089,788.0,5.992,-0.12,Main Sequence,blue-white,A
213,22012,6748.0,6.64,-2.55,Main Sequence,blue-white,B
214,34190,198200.0,6.39,-4.57,Main Sequence,blue,O
215,32460,173800.0,6.237,-4.36,Main Sequence,blue,O
216,9320,29.0,1.91,1.236,Main Sequence,blue-white,A
217,19400,10920.0,6.03,-3.08,Main Sequence,blue-white,B
218,17140,883.0,5.653,-2.64,Main Sequence,blue-white,B
219,8250,9.25,1.93,-0.98,Main Sequence,yellow-white,F
220,23678,244290.0,35.0,-6.27,Supergiant,blue,O
221,12749,332520.0,76.0,-7.02,Supergiant,blue,O
222,9383,342940.0,98.0,-6.98,Supergiant,blue,O
223,23440,537430.0,81.0,-5.975,Supergiant,blue,O
224,16787,246730.0,62.0,-6.35,Supergiant,blue,O
225,18734,224780.0,46.0,-7.45,Supergiant,blue,O
226,9892,593900.0,80.0,-7.262,Supergiant,blue,O
227,10930,783930.0,25.0,-6.224,Supergiant,blue,O
228,23095,347820.0,86.0,-5.905,Supergiant,blue,O
229,21738,748890.0,92.0,-7.346,Supergiant,blue,O
230,24145,382993.0,1494.0,-8.84,Hypergiant,blue-white,B
231,38234,272830.0,1356.0,-9.29,Hypergiant,blue,O
232,32489,648430.0,1948.5,-10.84,Hypergiant,blue,O
233,27739,849420.0,1252.0,-7.59,Hypergiant,blue-white,B
234,21904,748490.0,1130.0,-7.67,Hypergiant,blue-white,B
235,38940,374830.0,1356.0,-9.93,Hypergiant,blue,O
236,30839,834042.0,1194.0,-10.63,Hypergiant,blue,O
237,8829,537493.0,1423.0,-10.73,Hypergiant,white,A
238,9235,404940.0,1112.0,-11.23,Hypergiant,white,A
239,37882,294903.0,1783.0,-7.8,Hypergiant,blue,O
